State,GeoFIPS,County,population,total_cases
California,6037,Los Angeles County,10105518,466327
Illinois,17031,Cook County,5180493,335203
Florida,12086,Miami-Dade County,2761581,247414
Arizona,4013,Maricopa County,4410824,238186
Texas,48201,Harris County,4698619,200397
Texas,48113,Dallas County,2637772,137445
Nevada,32003,Clark County,2231647,131510
Florida,12011,Broward County,1951260,116017
Texas,48439,Tarrant County,2084931,112725
California,6071,San Bernardino County,2171603,108946
California,6065,Riverside County,2450758,103221
California,6073,San Diego County,3343364,95445
New York,36081,Queens County,2278906,91736
Texas,48141,El Paso County,840758,90748
California,6059,Orange County,3185968,90513
New York,36047,Kings County,2582830,89945
Texas,48029,Bexar County,1986049,89490
Utah,49035,Salt Lake County,1152633,88921
Wisconsin,55079,Milwaukee County,948201,79300
Minnesota,27053,Hennepin County,1259428,75353
Pennsylvania,42101,Philadelphia County,1584138,72875
Michigan,26163,Wayne County,1753893,72692
Florida,12099,Palm Beach County,1485941,70050
New York,36103,Suffolk County,1481093,69024
New York,36059,Nassau County,1358343,66495
New York,36005,Bronx County,1432132,65764
Ohio,39049,Franklin County,1310300,64130
Florida,12057,Hillsborough County,1436888,61715
Florida,12095,Orange County,1380645,59777
Massachusetts,25017,Middlesex County,1614714,55846
New York,36119,Westchester County,967612,55797
Missouri,29189,St. Louis County,996945,54496
Utah,49049,Utah County,622213,54440
Indiana,18097,Marion County,954670,54212
Tennessee,47157,Shelby County,935764,52363
Michigan,26125,Oakland County,1259201,52330
Illinois,17043,DuPage County,928589,51672
Ohio,39035,Cuyahoga County,1243857,50412
Washington,53033,King County,2233163,50142
North Carolina,37119,Mecklenburg County,1093901,48033
Florida,12031,Duval County,950181,47619
Arizona,4019,Pima County,1039073,46849
Tennessee,47037,Davidson County,692587,46807
California,6029,Kern County,896764,46397
Texas,48215,Hidalgo County,865939,45715
Oklahoma,40109,Oklahoma County,792582,45458
Nebraska,31055,Douglas County,566880,45054
Maryland,24033,Prince George's County,909308,44892
California,6067,Sacramento County,1540975,44688
Missouri,29095,Jackson County,700307,44459
Connecticut,9001,Fairfield County,943823,44376
Illinois,17197,Will County,692310,43578
New York,36061,New York County,1628701,43398
Michigan,26099,Macomb County,874759,42764
Massachusetts,25025,Suffolk County,807252,42670
Massachusetts,25009,Essex County,790638,41982
Kentucky,21111,Jefferson County,770517,41648
California,6019,Fresno County,994400,41460
California,6085,Santa Clara County,1937570,41316
Illinois,17097,Lake County,700832,41303
Texas,48453,Travis County,1248743,40836
Georgia,13121,Fulton County,1050114,40651
Colorado,8031,Denver County,716492,40406
Rhode Island,44007,Providence County,636084,40206
Georgia,13135,Gwinnett County,927781,40096
Ohio,39061,Hamilton County,816684,39256
New Jersey,34013,Essex County,799767,39011
New Jersey,34003,Bergen County,936692,38602
Alabama,1073,Jefferson County,659300,37796
Michigan,26081,Kent County,653786,37403
Oklahoma,40143,Tulsa County,648360,37149
Maryland,24031,Montgomery County,1052567,36850
Iowa,19153,Polk County,487204,36173
Florida,12103,Pinellas County,975280,35760
Connecticut,9009,New Haven County,857620,35321
Illinois,17089,Kane County,534216,35176
New Jersey,34017,Hudson County,676061,35115
Pennsylvania,42003,Allegheny County,1218452,34814
Texas,48303,Lubbock County,307412,34801
New Jersey,34023,Middlesex County,829685,34420
Connecticut,9003,Hartford County,892697,33796
California,6001,Alameda County,1666753,33651
New Jersey,34031,Passaic County,503310,33393
Colorado,8001,Adams County,511868,33125
Indiana,18089,Lake County,484411,33076
Florida,12071,Lee County,754610,32779
Colorado,8041,El Paso County,713856,32431
North Carolina,37183,Wake County,1092305,32398
Maryland,24005,Baltimore County,828431,32015
Minnesota,27123,Ramsey County,550210,31903
Wisconsin,55133,Waukesha County,403072,31179
New Mexico,35001,Bernalillo County,678701,30968
Colorado,8005,Arapahoe County,651215,30912
Kansas,20173,Sedgwick County,513607,30881
New Jersey,34039,Union County,558067,30879
Wisconsin,55025,Dane County,542364,30375
Kansas,20091,Johnson County,597555,30199
