GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased_per_1000
08025,Colorado,Crowley County,5858,19141,1356,231.4783,0.8535
20137,Kansas,Norton County,5430,42080,1125,207.1823,4.4199
46009,South Dakota,Bon Homme County,6980,38851,1408,201.7192,2.8653
05079,Arkansas,Lincoln County,13383,27002,2594,193.828,1.4197
13053,Georgia,Chattahoochee County,10684,31115,2065,193.2797,0.0936
46017,South Dakota,Buffalo County,2036,23341,393,193.0255,4.9116
46041,South Dakota,Dewey County,5904,35720,1102,186.6531,1.0163
47169,Tennessee,Trousdale County,11012,30090,1946,176.7163,1.0897
47095,Tennessee,Lake County,7411,23230,1244,167.8586,1.0795
31043,Nebraska,Dakota County,20083,41831,3313,164.9654,2.5893
19021,Iowa,Buena Vista County,19874,50000,3250,163.5302,0.7044
12067,Florida,Lafayette County,8732,24148,1426,163.3074,2.4049
38027,North Dakota,Eddy County,2313,54013,377,162.9918,2.1617
38031,North Dakota,Foster County,3216,62928,510,158.5821,5.597
27105,Minnesota,Nobles County,21924,45100,3272,149.2428,1.6876
20175,Kansas,Seward County,21780,38621,3181,146.0514,0.5969
30003,Montana,Big Horn County,13338,30533,1904,142.75,3.8986
20057,Kansas,Ford County,33888,38962,4807,141.8496,0.2951
38099,North Dakota,Walsh County,10667,48945,1507,141.2768,1.5
05077,Arkansas,Lee County,8985,27619,1268,141.1241,2.1146
21129,Kentucky,Lee County,7033,30157,980,139.3431,2.4172
20055,Kansas,Finney County,36611,43172,5062,138.2645,0.8467
48075,Texas,Childress County,7291,30084,991,135.921,0.4115
38059,North Dakota,Morton County,31095,52153,4221,135.7453,2.2833
46003,South Dakota,Aurora County,2801,45253,380,135.6658,2.4991
48189,Texas,Hale County,33830,32263,4549,134.4664,3.1038
38015,North Dakota,Burleigh County,95273,58173,12561,131.8422,1.354
20179,Kansas,Sheridan County,2533,50706,333,131.4647,0.0
30101,Montana,Toole County,4853,45481,632,130.2287,1.6485
05067,Arkansas,Jackson County,16811,35880,2184,129.9149,0.6543
38093,North Dakota,Stutsman County,20917,54491,2717,129.8943,2.3904
20053,Kansas,Ellsworth County,6196,43316,804,129.7611,0.6456
38063,North Dakota,Nelson County,2869,60817,372,129.6619,3.4855
46107,South Dakota,Potter County,2207,70768,286,129.5877,0.9062
55078,Wisconsin,Menominee County,4658,30371,602,129.24,1.7175
46035,South Dakota,Davison County,19790,50794,2520,127.337,2.1223
46005,South Dakota,Beadle County,18883,49246,2386,126.357,1.6946
31037,Nebraska,Colfax County,10881,43106,1371,125.9994,1.2866
38085,North Dakota,Sioux County,4358,27662,546,125.2868,2.0652
46085,South Dakota,Lyman County,3821,47431,478,125.0981,2.0937
40139,Oklahoma,Texas County,20455,46597,2555,124.9083,0.6355
22035,Louisiana,East Carroll Parish,7037,36010,873,124.0585,1.5632
46049,South Dakota,Faulk County,2330,42762,289,124.0343,4.2918
47181,Tennessee,Wayne County,16558,28962,2043,123.3845,0.7851
20145,Kansas,Pawnee County,6562,39223,804,122.5236,0.1524
05017,Arkansas,Chicot County,10438,36293,1273,121.9582,2.8741
46102,South Dakota,Oglala Lakota County,14309,25047,1741,121.6717,1.8869
38039,North Dakota,Griggs County,2232,55349,271,121.4158,0.8961
38089,North Dakota,Stark County,30997,61032,3755,121.1408,1.2904
46073,South Dakota,Jerauld County,2043,54425,246,120.4112,6.3632
38005,North Dakota,Benson County,6962,34482,838,120.3677,2.1546
19149,Iowa,Plymouth County,25095,57589,3004,119.7051,1.7932
20063,Kansas,Gove County,2612,58539,312,119.4487,7.657
46111,South Dakota,Sanborn County,2429,48731,290,119.3907,1.2351
08075,Colorado,Logan County,21528,48161,2568,119.2865,1.858
38035,North Dakota,Grand Forks County,70770,51494,8431,119.1324,0.6783
16065,Idaho,Madison County,39304,26407,4678,119.021,0.2544
20131,Kansas,Nemaha County,10155,54111,1193,117.4791,3.3481
38101,North Dakota,Ward County,67744,55214,7931,117.0731,2.1256
30085,Montana,Roosevelt County,11059,34794,1289,116.5567,3.7978
19105,Iowa,Jones County,20744,43652,2412,116.2746,0.9159
48375,Texas,Potter County,119648,43945,13878,115.9902,2.0059
22037,Louisiana,East Feliciana Parish,19305,42771,2239,115.9803,4.4548
19025,Iowa,Calhoun County,9699,51217,1120,115.4758,0.7217
20067,Kansas,Grant County,7336,46591,845,115.1854,1.6358
38021,North Dakota,Dickey County,4903,52437,563,114.8277,5.9147
46099,South Dakota,Minnehaha County,192876,57223,22081,114.4829,1.0577
46015,South Dakota,Brule County,5229,46570,596,113.9797,0.9562
48303,Texas,Lubbock County,307412,42569,34801,113.2064,1.3337
19167,Iowa,Sioux County,34909,56029,3918,112.2347,0.8307
38057,North Dakota,Mercer County,8267,57839,927,112.1326,0.8467
31151,Nebraska,Saline County,14350,43763,1606,111.9164,0.2091
46087,South Dakota,McCook County,5546,52453,617,111.2514,3.4259
27067,Minnesota,Kandiyohi County,42855,54667,4765,111.1889,0.8167
38055,North Dakota,McLean County,9541,54518,1057,110.785,1.7818
38079,North Dakota,Rolette County,14301,36647,1573,109.9923,1.2587
38075,North Dakota,Renville County,2374,60976,261,109.941,3.3698
55027,Wisconsin,Dodge County,87847,44799,9640,109.7362,0.9562
46043,South Dakota,Douglas County,2935,57808,322,109.7104,1.7036
19047,Iowa,Crawford County,17158,41765,1880,109.5699,0.9325
20135,Kansas,Ness County,2840,57310,311,109.507,4.5775
20093,Kansas,Kearny County,3943,56466,431,109.3076,2.0289
38071,North Dakota,Ramsey County,11481,47425,1254,109.2239,0.871
38069,North Dakota,Pierce County,4081,52070,444,108.7969,2.2053
19193,Iowa,Woodbury County,102539,43988,11076,108.0174,1.3848
48141,Texas,El Paso County,840758,35856,90748,107.9359,1.4856
19187,Iowa,Webster County,36277,45496,3915,107.9196,1.1026
38061,North Dakota,Mountrail County,10218,58955,1100,107.6532,1.3701
38029,North Dakota,Emmons County,3295,49489,354,107.4355,3.0349
19197,Iowa,Wright County,12690,56451,1362,107.3286,0.5516
46053,South Dakota,Gregory County,4212,48209,452,107.3124,5.4606
35031,New Mexico,McKinley County,72290,27771,7751,107.2209,4.0808
38003,North Dakota,Barnes County,10542,55784,1127,106.9057,1.7075
20153,Kansas,Rawlins County,2508,55821,268,106.8581,1.1962
30079,Montana,Prairie County,1087,44739,116,106.7157,1.8399
05133,Arkansas,Sevier County,17139,31436,1820,106.1906,1.1669
20165,Kansas,Rush County,3093,44302,325,105.076,0.0
46029,South Dakota,Codington County,28015,49518,2936,104.801,2.0346
19087,Iowa,Henry County,20067,43223,2101,104.6993,0.3987
46023,South Dakota,Charles Mix County,9338,44877,976,104.5192,0.6425
30077,Montana,Powell County,6968,39771,727,104.3341,0.4305
19027,Iowa,Carroll County,20154,54456,2096,103.9992,1.2901
48109,Texas,Culberson County,2204,54180,229,103.902,1.3612
46027,South Dakota,Clay County,14041,39485,1458,103.8388,0.7834
20193,Kansas,Thomas County,7711,45671,795,103.0995,0.7781
46123,South Dakota,Tripp County,5478,49835,564,102.9573,1.6429
40153,Oklahoma,Woodward County,20222,43906,2065,102.1165,0.3956
46051,South Dakota,Grant County,7147,57069,728,101.8609,2.0988
48415,Texas,Scurry County,16866,42095,1717,101.8024,1.4823
