GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased,new_deceased_per_1000
48105,Texas,Crockett County,3499,41472,30,8.5739,0,0.0
30033,Montana,Garfield County,1268,36291,8,6.3091,0,0.0
05079,Arkansas,Lincoln County,13383,27002,53,3.9602,0,0.0
48169,Texas,Garza County,6578,30072,19,2.8884,0,0.0
48029,Texas,Bexar County,1986049,46058,5501,2.7698,0,0.0
48323,Texas,Maverick County,58485,30505,122,2.086,0,0.0
01105,Alabama,Perry County,9140,30535,18,1.9694,1,0.1094
12047,Florida,Hamilton County,14310,26016,27,1.8868,0,0.0
22035,Louisiana,East Carroll Parish,7037,36010,13,1.8474,0,0.0
48427,Texas,Starr County,64525,26316,111,1.7203,0,0.0
22081,Louisiana,Red River Parish,8477,42201,14,1.6515,0,0.0
48239,Texas,Jackson County,14874,41770,24,1.6136,0,0.0
48177,Texas,Gonzales County,20826,43342,33,1.5846,0,0.0
48391,Texas,Refugio County,7032,42606,11,1.5643,0,0.0
22003,Louisiana,Allen Parish,25605,33381,40,1.5622,0,0.0
28151,Mississippi,Washington County,45063,37568,70,1.5534,1,0.0222
05017,Arkansas,Chicot County,10438,36293,16,1.5329,0,0.0
40065,Oklahoma,Jackson County,24949,38527,38,1.5231,0,0.0
13101,Georgia,Echols County,4000,27880,6,1.5,0,0.0
22083,Louisiana,Richland Parish,20192,37330,30,1.4857,0,0.0
46017,South Dakota,Buffalo County,2036,23341,3,1.4735,0,0.0
12063,Florida,Jackson County,48305,32106,71,1.4698,1,0.0207
53077,Washington,Yakima County,251446,43379,369,1.4675,3,0.0119
48339,Texas,Montgomery County,590925,63605,853,1.4435,1,0.0017
48215,Texas,Hidalgo County,865939,26410,1248,1.4412,22,0.0254
05001,Arkansas,Arkansas County,17769,45290,25,1.4069,0,0.0
48489,Texas,Willacy County,21515,28593,30,1.3944,0,0.0
48355,Texas,Nueces County,362265,44378,500,1.3802,2,0.0055
47067,Tennessee,Hancock County,6549,27042,9,1.3743,0,0.0
28133,Mississippi,Sunflower County,25735,30859,35,1.36,0,0.0
01041,Alabama,Crenshaw County,13824,36645,18,1.3021,0,0.0
05149,Arkansas,Yell County,21535,33320,28,1.3002,2,0.0929
13277,Georgia,Tift County,40571,37805,49,1.2078,0,0.0
45009,South Carolina,Bamberg County,14275,32858,17,1.1909,0,0.0
28011,Mississippi,Bolivar County,31333,38213,37,1.1809,0,0.0
22101,Louisiana,St. Mary Parish,49774,39280,58,1.1653,0,0.0
48047,Texas,Brooks County,7114,33861,8,1.1245,0,0.0
48273,Texas,Kleberg County,31129,38997,35,1.1244,0,0.0
13237,Georgia,Putnam County,21809,41839,24,1.1005,0,0.0
47169,Tennessee,Trousdale County,11012,30090,12,1.0897,1,0.0908
45039,South Carolina,Fairfield County,22402,36758,24,1.0713,0,0.0
21183,Kentucky,Ohio County,24087,33262,25,1.0379,0,0.0
22001,Louisiana,Acadia Parish,62190,37304,64,1.0291,2,0.0322
12049,Florida,Hardee County,27245,28285,28,1.0277,0,0.0
13133,Georgia,Greene County,17698,55396,18,1.0171,0,0.0
45005,South Carolina,Allendale County,8903,33237,9,1.0109,0,0.0
53037,Washington,Kittitas County,47364,42603,47,0.9923,0,0.0
47075,Tennessee,Haywood County,17335,32023,17,0.9807,0,0.0
46095,South Dakota,Mellette County,2042,28152,2,0.9794,0,0.0
48463,Texas,Uvalde County,26846,39458,26,0.9685,1,0.0372
28051,Mississippi,Holmes County,17622,28371,17,0.9647,0,0.0
13003,Georgia,Atkinson County,8297,30511,8,0.9642,0,0.0
45065,South Carolina,McCormick County,9410,38513,9,0.9564,0,0.0
45075,South Carolina,Orangeburg County,86934,33818,82,0.9432,4,0.046
16073,Idaho,Owyhee County,11693,33372,11,0.9407,0,0.0
19109,Iowa,Kossuth County,14908,52992,14,0.9391,0,0.0
48359,Texas,Oldham County,2131,49120,2,0.9385,0,0.0
13109,Georgia,Evans County,10721,35212,10,0.9327,0,0.0
47147,Tennessee,Robertson County,71012,42104,66,0.9294,1,0.0141
22039,Louisiana,Evangeline Parish,33443,33671,31,0.927,0,0.0
35019,New Mexico,Guadalupe County,4341,32994,4,0.9214,0,0.0
47069,Tennessee,Hardeman County,25220,29430,23,0.912,0,0.0
22077,Louisiana,Pointe Coupee Parish,21940,44366,20,0.9116,0,0.0
28115,Mississippi,Pontotoc County,31833,32996,29,0.911,0,0.0
06025,California,Imperial County,181827,36974,165,0.9075,0,0.0
48125,Texas,Dickens County,2249,31586,2,0.8893,0,0.0
12023,Florida,Columbia County,70503,35074,62,0.8794,0,0.0
13243,Georgia,Randolph County,6833,33238,6,0.8781,0,0.0
12033,Florida,Escambia County,315534,42537,274,0.8684,1,0.0032
12086,Florida,Miami-Dade County,2761581,50022,2390,0.8654,44,0.0159
48469,Texas,Victoria County,92035,46142,79,0.8584,6,0.0652
48031,Texas,Blanco County,11702,51968,10,0.8546,0,0.0
28103,Mississippi,Noxubee County,10535,32805,9,0.8543,0,0.0
05039,Arkansas,Dallas County,7182,34645,6,0.8354,0,0.0
13275,Georgia,Thomas County,44448,44355,37,0.8324,0,0.0
28147,Mississippi,Walthall County,14465,31757,12,0.8296,0,0.0
45017,South Carolina,Calhoun County,14520,38451,12,0.8264,0,0.0
22123,Louisiana,West Carroll Parish,10982,36633,9,0.8195,0,0.0
01053,Alabama,Escambia County,36748,32996,30,0.8164,0,0.0
13273,Georgia,Terrell County,8611,40325,7,0.8129,0,0.0
19175,Iowa,Union County,12359,40494,10,0.8091,1,0.0809
28043,Mississippi,Grenada County,21055,35632,17,0.8074,0,0.0
48383,Texas,Reagan County,3741,48253,3,0.8019,0,0.0
01025,Alabama,Clarke County,23920,36361,19,0.7943,0,0.0
22053,Louisiana,Jefferson Davis Parish,31582,42334,25,0.7916,0,0.0
22085,Louisiana,Sabine Parish,24032,34558,19,0.7906,0,0.0
48061,Texas,Cameron County,423908,28756,335,0.7903,10,0.0236
01097,Alabama,Mobile County,413757,38243,327,0.7903,1,0.0024
22097,Louisiana,St. Landry Parish,82764,41191,65,0.7854,0,0.0
45089,South Carolina,Williamsburg County,30606,32726,24,0.7842,1,0.0327
38019,North Dakota,Cavalier County,3829,68040,3,0.7835,0,0.0
16027,Idaho,Canyon County,223499,32680,175,0.783,1,0.0045
22019,Louisiana,Calcasieu Parish,203112,48968,159,0.7828,1,0.0049
22011,Louisiana,Beauregard Parish,37253,42782,29,0.7785,0,0.0
13111,Georgia,Fannin County,25964,35727,20,0.7703,1,0.0385
48279,Texas,Lamb County,13158,38247,10,0.76,1,0.076
12097,Florida,Osceola County,367990,33346,279,0.7582,0,0.0
28017,Mississippi,Chickasaw County,17171,34805,13,0.7571,0,0.0
13299,Georgia,Ware County,35680,33906,27,0.7567,0,0.0
22057,Louisiana,Lafourche Parish,98115,47096,74,0.7542,0,0.0
01131,Alabama,Wilcox County,10627,32215,8,0.7528,0,0.0
48507,Texas,Zavala County,11983,29202,9,0.7511,0,0.0
22041,Louisiana,Franklin Parish,20156,31928,15,0.7442,0,0.0
48277,Texas,Lamar County,49728,40763,37,0.744,0,0.0
38083,North Dakota,Sheridan County,1349,35497,1,0.7413,0,0.0
13043,Georgia,Candler County,10836,31385,8,0.7383,0,0.0
22045,Louisiana,Iberia Parish,70941,39270,52,0.733,0,0.0
01129,Alabama,Washington County,16378,36323,12,0.7327,0,0.0
12005,Florida,Bay County,185287,43231,135,0.7286,0,0.0
01075,Alabama,Lamar County,13844,33496,10,0.7223,0,0.0
48101,Texas,Cottle County,1389,57288,1,0.7199,0,0.0
