GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased,new_deceased_per_1000
48283,Texas,La Salle County,7531,35809,333,44.2172,1,0.1328
48313,Texas,Madison County,14422,30435,607,42.0885,0,0.0
48105,Texas,Crockett County,3499,41472,141,40.2972,2,0.5716
05017,Arkansas,Chicot County,10438,36293,364,34.8726,2,0.1916
01105,Alabama,Perry County,9140,30535,294,32.1663,3,0.3282
12023,Florida,Columbia County,70503,35074,2159,30.6228,7,0.0993
05059,Arkansas,Hot Spring County,33701,30580,1003,29.7617,7,0.2077
12086,Florida,Miami-Dade County,2761581,50022,79641,28.8389,524,0.1897
22003,Louisiana,Allen Parish,25605,33381,725,28.3148,9,0.3515
48465,Texas,Val Verde County,49208,36554,1355,27.5362,14,0.2845
48469,Texas,Victoria County,92035,46142,2510,27.2722,31,0.3368
48189,Texas,Hale County,33830,32263,900,26.6036,13,0.3843
48123,Texas,DeWitt County,20187,54549,535,26.5022,12,0.5944
48355,Texas,Nueces County,362265,44378,9270,25.589,158,0.4361
28125,Mississippi,Sharkey County,4377,32070,112,25.5883,1,0.2285
05077,Arkansas,Lee County,8985,27619,228,25.3756,4,0.4452
12063,Florida,Jackson County,48305,32106,1184,24.5109,26,0.5382
48391,Texas,Refugio County,7032,42606,170,24.1752,0,0.0
48323,Texas,Maverick County,58485,30505,1412,24.1429,33,0.5642
28133,Mississippi,Sunflower County,25735,30859,593,23.0425,14,0.544
48285,Texas,Lavaca County,20110,50919,462,22.9736,12,0.5967
22001,Louisiana,Acadia Parish,62190,37304,1421,22.8493,35,0.5628
13049,Georgia,Charlton County,12968,24976,296,22.8254,1,0.0771
22019,Louisiana,Calcasieu Parish,203112,48968,4613,22.7116,58,0.2856
48415,Texas,Scurry County,16866,42095,383,22.7084,1,0.0593
01025,Alabama,Clarke County,23920,36361,535,22.3662,4,0.1672
12079,Florida,Madison County,18529,31675,407,21.9656,4,0.2159
48385,Texas,Real County,3478,34687,75,21.5641,0,0.0
28135,Mississippi,Tallahatchie County,13987,27757,301,21.52,6,0.429
04027,Arizona,Yuma County,212128,35682,4549,21.4446,166,0.7825
48427,Texas,Starr County,64525,26316,1363,21.1236,35,0.5424
45009,South Carolina,Bamberg County,14275,32858,299,20.9457,14,0.9807
01129,Alabama,Washington County,16378,36323,342,20.8817,3,0.1832
12039,Florida,Gadsden County,45894,35139,957,20.8524,10,0.2179
28151,Mississippi,Washington County,45063,37568,924,20.5046,19,0.4216
12045,Florida,Gulf County,16164,35701,330,20.4157,1,0.0619
22045,Louisiana,Iberia Parish,70941,39270,1429,20.1435,17,0.2396
28011,Mississippi,Bolivar County,31333,38213,628,20.0428,16,0.5106
28043,Mississippi,Grenada County,21055,35632,422,20.0427,14,0.6649
22077,Louisiana,Pointe Coupee Parish,21940,44366,438,19.9635,5,0.2279
12011,Florida,Broward County,1951260,50269,38746,19.8569,293,0.1502
48001,Texas,Anderson County,58057,34242,1142,19.6703,5,0.0861
48489,Texas,Willacy County,21515,28593,423,19.6607,15,0.6972
28027,Mississippi,Coahoma County,22628,33915,443,19.5775,1,0.0442
13163,Georgia,Jefferson County,15430,34034,302,19.5723,4,0.2592
28119,Mississippi,Quitman County,7051,27088,137,19.4299,1,0.1418
01053,Alabama,Escambia County,36748,32996,706,19.2119,9,0.2449
37177,North Carolina,Tyrrell County,4131,30000,79,19.1237,1,0.2421
13259,Georgia,Stewart County,6199,22771,118,19.0353,2,0.3226
48239,Texas,Jackson County,14874,41770,278,18.6903,3,0.2017
22053,Louisiana,Jefferson Davis Parish,31582,42334,585,18.5232,15,0.475
41049,Oregon,Morrow County,11372,39095,210,18.4664,0,0.0
28039,Mississippi,George County,24250,32529,444,18.3093,1,0.0412
48061,Texas,Cameron County,423908,28756,7756,18.2964,249,0.5874
41059,Oregon,Umatilla County,77516,39684,1410,18.1898,18,0.2322
28021,Mississippi,Claiborne County,9002,31494,162,17.996,2,0.2222
28107,Mississippi,Panola County,34178,32496,613,17.9355,3,0.0878
22101,Louisiana,St. Mary Parish,49774,39280,887,17.8205,9,0.1808
45019,South Carolina,Charleston County,405905,61477,7219,17.7849,122,0.3006
47069,Tennessee,Hardeman County,25220,29430,448,17.7637,10,0.3965
13313,Georgia,Whitfield County,104062,38752,1843,17.7106,14,0.1345
22085,Louisiana,Sabine Parish,24032,34558,424,17.6431,6,0.2497
48057,Texas,Calhoun County,21561,38668,379,17.578,1,0.0464
12033,Florida,Escambia County,315534,42537,5518,17.4878,48,0.1521
28127,Mississippi,Simpson County,26758,37036,467,17.4527,14,0.5232
05149,Arkansas,Yell County,21535,33320,375,17.4135,11,0.5108
28147,Mississippi,Walthall County,14465,31757,251,17.3522,13,0.8987
04023,Arizona,Santa Cruz County,46511,39057,806,17.3292,28,0.602
22097,Louisiana,St. Landry Parish,82764,41191,1428,17.2539,13,0.1571
12043,Florida,Glades County,13724,24467,235,17.1233,2,0.1457
41045,Oregon,Malheur County,30725,30992,526,17.1196,8,0.2604
13069,Georgia,Coffee County,43093,32644,737,17.1025,7,0.1624
12077,Florida,Liberty County,8457,23582,144,17.0273,1,0.1182
12097,Florida,Osceola County,367990,33346,6265,17.0249,40,0.1087
28013,Mississippi,Calhoun County,14436,33043,245,16.9715,4,0.2771
48177,Texas,Gonzales County,20826,43342,353,16.95,3,0.1441
47111,Tennessee,Macon County,24265,33297,409,16.8556,10,0.4121
13299,Georgia,Ware County,35680,33906,601,16.8442,8,0.2242
06025,California,Imperial County,181827,36974,3056,16.8072,107,0.5885
28159,Mississippi,Winston County,18165,35742,304,16.7355,9,0.4955
16027,Idaho,Canyon County,223499,32680,3739,16.7294,28,0.1253
48135,Texas,Ector County,162124,47271,2708,16.7033,25,0.1542
46017,South Dakota,Buffalo County,2036,23341,34,16.6994,2,0.9823
48055,Texas,Caldwell County,43247,33668,720,16.6486,20,0.4625
53021,Washington,Franklin County,94347,37390,1570,16.6407,13,0.1378
13127,Georgia,Glynn County,85219,46073,1418,16.6395,20,0.2347
28053,Mississippi,Humphreys County,8257,31864,137,16.592,2,0.2422
12027,Florida,DeSoto County,37489,23610,622,16.5915,4,0.1067
30003,Montana,Big Horn County,13338,30533,220,16.4942,3,0.2249
28051,Mississippi,Holmes County,17622,28371,289,16.4,5,0.2837
22055,Louisiana,Lafayette Parish,242782,50273,3938,16.2203,41,0.1689
40065,Oklahoma,Jackson County,24949,38527,404,16.193,0,0.0
12047,Florida,Hamilton County,14310,26016,231,16.1426,1,0.0699
22065,Louisiana,Madison Parish,11161,32437,180,16.1276,4,0.3584
22023,Louisiana,Cameron Parish,6968,50280,112,16.0735,0,0.0
13305,Georgia,Wayne County,29808,31954,478,16.036,4,0.1342
13109,Georgia,Evans County,10721,35212,171,15.95,1,0.0933
22113,Louisiana,Vermilion Parish,59830,39042,953,15.9285,10,0.1671
12005,Florida,Bay County,185287,43231,2934,15.8349,17,0.0917
12051,Florida,Hendry County,41556,31071,657,15.81,10,0.2406
48167,Texas,Galveston County,337890,51785,5312,15.7211,52,0.1539
47075,Tennessee,Haywood County,17335,32023,271,15.6331,3,0.1731
13053,Georgia,Chattahoochee County,10684,31115,167,15.6308,1,0.0936
31173,Nebraska,Thurston County,7303,41468,114,15.61,3,0.4108
16073,Idaho,Owyhee County,11693,33372,182,15.5649,0,0.0
12129,Florida,Wakulla County,32461,37026,504,15.5263,1,0.0308
22083,Louisiana,Richland Parish,20192,37330,312,15.4517,2,0.099
01097,Alabama,Mobile County,413757,38243,6384,15.4293,48,0.116
13001,Georgia,Appling County,18507,33268,285,15.3996,2,0.1081
06029,California,Kern County,896764,39703,13756,15.3396,69,0.0769
13003,Georgia,Atkinson County,8297,30511,127,15.3067,0,0.0
12133,Florida,Washington County,24880,29414,380,15.2733,1,0.0402
12031,Florida,Duval County,950181,46174,14510,15.2708,88,0.0926
01035,Alabama,Conecuh County,12277,32656,187,15.2317,6,0.4887
13043,Georgia,Candler County,10836,31385,165,15.227,4,0.3691
13161,Georgia,Jeff Davis County,15029,29943,228,15.1707,3,0.1996
48255,Texas,Karnes County,15650,49593,237,15.1438,3,0.1917
48479,Texas,Webb County,275910,31635,4173,15.1245,47,0.1703
29119,Missouri,McDonald County,23078,28018,349,15.1226,6,0.26
45075,South Carolina,Orangeburg County,86934,33818,1312,15.0919,40,0.4601
12113,Florida,Santa Rosa County,179349,44527,2696,15.0321,13,0.0725
04013,Arizona,Maricopa County,4410824,47694,66261,15.0224,1240,0.2811
28103,Mississippi,Noxubee County,10535,32805,158,14.9976,2,0.1898
28097,Mississippi,Montgomery County,10023,34180,150,14.9656,1,0.0998
05061,Arkansas,Howard County,13341,35292,198,14.8415,1,0.075
48029,Texas,Bexar County,1986049,46058,29456,14.8315,436,0.2195
28031,Mississippi,Covington County,18853,35748,279,14.7987,5,0.2652
01033,Alabama,Colbert County,54762,38378,810,14.7913,6,0.1096
22039,Louisiana,Evangeline Parish,33443,33671,494,14.7714,1,0.0299
12013,Florida,Calhoun County,14587,26873,214,14.6706,1,0.0686
48215,Texas,Hidalgo County,865939,26410,12664,14.6246,570,0.6582
22109,Louisiana,Terrebonne Parish,111021,41504,1623,14.6189,12,0.1081
48463,Texas,Uvalde County,26846,39458,391,14.5646,2,0.0745
48117,Texas,Deaf Smith County,18760,40470,273,14.5522,2,0.1066
45089,South Carolina,Williamsburg County,30606,32726,445,14.5396,8,0.2614
53047,Washington,Okanogan County,42132,42462,612,14.5258,0,0.0
22041,Louisiana,Franklin Parish,20156,31928,292,14.487,2,0.0992
48297,Texas,Live Oak County,12166,35636,176,14.4665,1,0.0822
12049,Florida,Hardee County,27245,28285,388,14.2411,4,0.1468
22009,Louisiana,Avoyelles Parish,40462,37911,576,14.2356,13,0.3213
13005,Georgia,Bacon County,11185,33080,159,14.2155,2,0.1788
28063,Mississippi,Jefferson County,7106,33098,101,14.2133,2,0.2815
08079,Colorado,Mineral County,776,71095,11,14.1753,0,0.0
05071,Arkansas,Johnson County,26742,28970,379,14.1725,0,0.0
48435,Texas,Sutton County,3758,61478,53,14.1032,1,0.2661
13075,Georgia,Cook County,17162,32524,242,14.1009,5,0.2913
04017,Arizona,Navajo County,110445,32165,1557,14.0975,62,0.5614
48245,Texas,Jefferson County,255001,44065,3582,14.047,31,0.1216
47063,Tennessee,Hamblen County,64569,36636,905,14.016,9,0.1394
19187,Iowa,Webster County,36277,45496,508,14.0034,3,0.0827
01055,Alabama,Etowah County,102501,36918,1432,13.9706,6,0.0585
22099,Louisiana,St. Martin Parish,53621,37645,749,13.9684,16,0.2984
45005,South Carolina,Allendale County,8903,33237,124,13.9279,0,0.0
01041,Alabama,Crenshaw County,13824,36645,192,13.8889,1,0.0723
28115,Mississippi,Pontotoc County,31833,32996,442,13.885,2,0.0628
12081,Florida,Manatee County,394855,47378,5473,13.8608,47,0.119
01045,Alabama,Dale County,48956,36613,676,13.8083,18,0.3677
12021,Florida,Collier County,378488,92686,5204,13.7494,47,0.1242
13021,Georgia,Bibb County,153095,41709,2099,13.7104,19,0.1241
01069,Alabama,Houston County,104722,42398,1435,13.7029,8,0.0764
13185,Georgia,Lowndes County,116321,37443,1591,13.6777,15,0.129
