GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased,new_deceased_per_1000
48283,Texas,La Salle County,7531,35809,333,44.2172,1,0.1328
48313,Texas,Madison County,14422,30435,615,42.6432,0,0.0
48105,Texas,Crockett County,3499,41472,144,41.1546,2,0.5716
05017,Arkansas,Chicot County,10438,36293,372,35.639,3,0.2874
01105,Alabama,Perry County,9140,30535,297,32.4945,3,0.3282
12023,Florida,Columbia County,70503,35074,2237,31.7291,7,0.0993
05059,Arkansas,Hot Spring County,33701,30580,1010,29.9694,8,0.2374
12086,Florida,Miami-Dade County,2761581,50022,82360,29.8235,620,0.2245
22003,Louisiana,Allen Parish,25605,33381,732,28.5882,9,0.3515
48465,Texas,Val Verde County,49208,36554,1399,28.4303,17,0.3455
48355,Texas,Nueces County,362265,44378,10181,28.1037,168,0.4637
48469,Texas,Victoria County,92035,46142,2510,27.2722,31,0.3368
48123,Texas,DeWitt County,20187,54549,548,27.1462,13,0.644
48189,Texas,Hale County,33830,32263,900,26.6036,15,0.4434
48323,Texas,Maverick County,58485,30505,1549,26.4854,36,0.6155
28125,Mississippi,Sharkey County,4377,32070,115,26.2737,1,0.2285
05077,Arkansas,Lee County,8985,27619,231,25.7095,4,0.4452
12063,Florida,Jackson County,48305,32106,1206,24.9664,29,0.6004
22019,Louisiana,Calcasieu Parish,203112,48968,4978,24.5086,62,0.3053
48391,Texas,Refugio County,7032,42606,171,24.3174,0,0.0
28133,Mississippi,Sunflower County,25735,30859,613,23.8197,15,0.5829
48415,Texas,Scurry County,16866,42095,401,23.7756,1,0.0593
22001,Louisiana,Acadia Parish,62190,37304,1453,23.3639,35,0.5628
48285,Texas,Lavaca County,20110,50919,462,22.9736,13,0.6464
12079,Florida,Madison County,18529,31675,423,22.8291,4,0.2159
13049,Georgia,Charlton County,12968,24976,296,22.8254,1,0.0771
12039,Florida,Gadsden County,45894,35139,1045,22.7699,11,0.2397
01025,Alabama,Clarke County,23920,36361,542,22.6589,4,0.1672
12045,Florida,Gulf County,16164,35701,366,22.6429,1,0.0619
04027,Arizona,Yuma County,212128,35682,4668,22.0056,173,0.8155
28135,Mississippi,Tallahatchie County,13987,27757,305,21.806,7,0.5005
48427,Texas,Starr County,64525,26316,1405,21.7745,46,0.7129
45009,South Carolina,Bamberg County,14275,32858,308,21.5762,15,1.0508
48385,Texas,Real County,3478,34687,75,21.5641,0,0.0
01129,Alabama,Washington County,16378,36323,351,21.4312,3,0.1832
28151,Mississippi,Washington County,45063,37568,954,21.1704,23,0.5104
22077,Louisiana,Pointe Coupee Parish,21940,44366,461,21.0119,5,0.2279
28011,Mississippi,Bolivar County,31333,38213,656,20.9364,19,0.6064
13163,Georgia,Jefferson County,15430,34034,319,20.674,4,0.2592
22045,Louisiana,Iberia Parish,70941,39270,1463,20.6228,18,0.2537
12011,Florida,Broward County,1951260,50269,40079,20.5401,326,0.1671
28119,Mississippi,Quitman County,7051,27088,144,20.4226,1,0.1418
28043,Mississippi,Grenada County,21055,35632,429,20.3752,15,0.7124
12065,Florida,Jefferson County,14288,40736,291,20.3667,1,0.07
48061,Texas,Cameron County,423908,28756,8572,20.2214,270,0.6369
48001,Texas,Anderson County,58057,34242,1164,20.0493,6,0.1033
41049,Oregon,Morrow County,11372,39095,228,20.0492,0,0.0
28027,Mississippi,Coahoma County,22628,33915,449,19.8427,4,0.1768
01053,Alabama,Escambia County,36748,32996,728,19.8106,9,0.2449
48489,Texas,Willacy County,21515,28593,426,19.8001,15,0.6972
37177,North Carolina,Tyrrell County,4131,30000,80,19.3658,1,0.2421
13259,Georgia,Stewart County,6199,22771,118,19.0353,2,0.3226
28021,Mississippi,Claiborne County,9002,31494,170,18.8847,2,0.2222
22053,Louisiana,Jefferson Davis Parish,31582,42334,595,18.8398,15,0.475
41059,Oregon,Umatilla County,77516,39684,1451,18.7187,19,0.2451
48239,Texas,Jackson County,14874,41770,278,18.6903,3,0.2017
13313,Georgia,Whitfield County,104062,38752,1943,18.6716,15,0.1441
28039,Mississippi,George County,24250,32529,452,18.6392,1,0.0412
12133,Florida,Washington County,24880,29414,462,18.5691,2,0.0804
22101,Louisiana,St. Mary Parish,49774,39280,912,18.3228,10,0.2009
47069,Tennessee,Hardeman County,25220,29430,461,18.2791,10,0.3965
28107,Mississippi,Panola County,34178,32496,623,18.2281,3,0.0878
22085,Louisiana,Sabine Parish,24032,34558,436,18.1425,6,0.2497
12033,Florida,Escambia County,315534,42537,5690,18.0329,51,0.1616
05149,Arkansas,Yell County,21535,33320,388,18.0172,11,0.5108
45019,South Carolina,Charleston County,405905,61477,7306,17.9993,128,0.3153
28127,Mississippi,Simpson County,26758,37036,478,17.8638,21,0.7848
04023,Arizona,Santa Cruz County,46511,39057,828,17.8022,28,0.602
28147,Mississippi,Walthall County,14465,31757,256,17.6979,14,0.9679
28159,Mississippi,Winston County,18165,35742,320,17.6163,9,0.4955
22097,Louisiana,St. Landry Parish,82764,41191,1456,17.5922,15,0.1812
48057,Texas,Calhoun County,21561,38668,379,17.578,1,0.0464
47111,Tennessee,Macon County,24265,33297,426,17.5562,10,0.4121
13069,Georgia,Coffee County,43093,32644,755,17.5202,7,0.1624
41045,Oregon,Malheur County,30725,30992,538,17.5102,8,0.2604
12097,Florida,Osceola County,367990,33346,6437,17.4923,47,0.1277
22065,Louisiana,Madison Parish,11161,32437,195,17.4716,4,0.3584
12043,Florida,Glades County,13724,24467,238,17.3419,2,0.1457
30003,Montana,Big Horn County,13338,30533,231,17.3189,6,0.4498
28051,Mississippi,Holmes County,17622,28371,305,17.3079,6,0.3405
12077,Florida,Liberty County,8457,23582,146,17.2638,1,0.1182
40065,Oklahoma,Jackson County,24949,38527,430,17.2352,0,0.0
16027,Idaho,Canyon County,223499,32680,3850,17.226,31,0.1387
28053,Mississippi,Humphreys County,8257,31864,142,17.1975,2,0.2422
46017,South Dakota,Buffalo County,2036,23341,35,17.1906,2,0.9823
06025,California,Imperial County,181827,36974,3124,17.1812,117,0.6435
12027,Florida,DeSoto County,37489,23610,644,17.1784,4,0.1067
13053,Georgia,Chattahoochee County,10684,31115,183,17.1284,1,0.0936
28013,Mississippi,Calhoun County,14436,33043,247,17.11,4,0.2771
13299,Georgia,Ware County,35680,33906,610,17.0964,8,0.2242
48177,Texas,Gonzales County,20826,43342,353,16.95,3,0.1441
22023,Louisiana,Cameron Parish,6968,50280,118,16.9346,0,0.0
47075,Tennessee,Haywood County,17335,32023,292,16.8445,3,0.1731
48055,Texas,Caldwell County,43247,33668,728,16.8335,21,0.4856
48135,Texas,Ector County,162124,47271,2729,16.8328,28,0.1727
13127,Georgia,Glynn County,85219,46073,1432,16.8038,22,0.2582
12005,Florida,Bay County,185287,43231,3090,16.6768,17,0.0917
53021,Washington,Franklin County,94347,37390,1570,16.6407,13,0.1378
13109,Georgia,Evans County,10721,35212,178,16.6029,1,0.0933
22055,Louisiana,Lafayette Parish,242782,50273,3997,16.4633,42,0.173
12047,Florida,Hamilton County,14310,26016,235,16.4221,1,0.0699
06029,California,Kern County,896764,39703,14680,16.37,70,0.0781
12129,Florida,Wakulla County,32461,37026,529,16.2965,2,0.0616
13305,Georgia,Wayne County,29808,31954,485,16.2708,4,0.1342
22113,Louisiana,Vermilion Parish,59830,39042,973,16.2627,11,0.1839
12051,Florida,Hendry County,41556,31071,672,16.171,11,0.2647
13003,Georgia,Atkinson County,8297,30511,134,16.1504,0,0.0
22083,Louisiana,Richland Parish,20192,37330,325,16.0955,2,0.099
48167,Texas,Galveston County,337890,51785,5428,16.0644,55,0.1628
13001,Georgia,Appling County,18507,33268,296,15.9939,2,0.1081
28097,Mississippi,Montgomery County,10023,34180,160,15.9633,1,0.0998
