GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased,new_deceased_per_1000
08025,Colorado,Crowley County,5858,19141,1143,195.1178,2,0.3414
21129,Kentucky,Lee County,7033,30157,759,107.9198,8,1.1375
48075,Texas,Childress County,7291,30084,695,95.323,1,0.1372
38031,North Dakota,Foster County,3216,62928,293,91.107,11,3.4204
19105,Iowa,Jones County,20744,43652,1775,85.5669,9,0.4339
46041,South Dakota,Dewey County,5904,35720,480,81.3008,3,0.5081
38099,North Dakota,Walsh County,10667,48945,854,80.06,12,1.125
38093,North Dakota,Stutsman County,20917,54491,1623,77.5924,35,1.6733
30077,Montana,Powell County,6968,39771,523,75.0574,3,0.4305
19025,Iowa,Calhoun County,9699,51217,719,74.1314,3,0.3093
38019,North Dakota,Cavalier County,3829,68040,270,70.5145,1,0.2612
38069,North Dakota,Pierce County,4081,52070,285,69.8358,6,1.4702
20137,Kansas,Norton County,5430,42080,377,69.4291,5,0.9208
46035,South Dakota,Davison County,19790,50794,1358,68.6205,26,1.3138
20131,Kansas,Nemaha County,10155,54111,689,67.8484,13,1.2802
38079,North Dakota,Rolette County,14301,36647,965,67.4778,6,0.4196
46107,South Dakota,Potter County,2207,70768,147,66.6063,1,0.4531
38039,North Dakota,Griggs County,2232,55349,148,66.3082,0,0.0
38063,North Dakota,Nelson County,2869,60817,189,65.8766,7,2.4399
46111,South Dakota,Sanborn County,2429,48731,157,64.6357,0,0.0
38027,North Dakota,Eddy County,2313,54013,146,63.1215,1,0.4323
38101,North Dakota,Ward County,67744,55214,4201,62.0129,77,1.1366
20053,Kansas,Ellsworth County,6196,43316,381,61.4913,3,0.4842
02050,Alaska,Bethel,18216,43500,1101,60.4414,4,0.2196
46069,South Dakota,Hyde County,1282,52133,77,60.0624,0,0.0
38003,North Dakota,Barnes County,10542,55784,630,59.761,13,1.2332
20117,Kansas,Marshall County,9722,45766,571,58.7328,10,1.0286
30091,Montana,Sheridan County,3424,52541,197,57.535,2,0.5841
46003,South Dakota,Aurora County,2801,45253,160,57.1225,5,1.7851
46087,South Dakota,McCook County,5546,52453,315,56.7977,14,2.5243
38075,North Dakota,Renville County,2374,60976,133,56.0236,0,0.0
55053,Wisconsin,Jackson County,20478,46528,1139,55.6207,3,0.1465
30079,Montana,Prairie County,1087,44739,60,55.1978,1,0.92
46017,South Dakota,Buffalo County,2036,23341,112,55.0098,4,1.9646
27135,Minnesota,Roseau County,15150,51307,830,54.7855,4,0.264
38067,North Dakota,Pembina County,6947,50088,380,54.6999,6,0.8637
20157,Kansas,Republic County,4664,44273,252,54.0309,2,0.4288
05067,Arkansas,Jackson County,16811,35880,908,54.0123,2,0.119
30101,Montana,Toole County,4853,45481,262,53.9872,2,0.4121
27119,Minnesota,Polk County,31529,48820,1700,53.9186,19,0.6026
27067,Minnesota,Kandiyohi County,42855,54667,2307,53.8327,17,0.3967
30025,Montana,Fallon County,2920,49509,157,53.7671,1,0.3425
55023,Wisconsin,Crawford County,16291,41485,870,53.4037,6,0.3683
20093,Kansas,Kearny County,3943,56466,209,53.0053,2,0.5072
46009,South Dakota,Bon Homme County,6980,38851,369,52.8653,13,1.8625
55005,Wisconsin,Barron County,45164,49431,2372,52.5197,34,0.7528
27033,Minnesota,Cottonwood County,11277,47982,590,52.3189,4,0.3547
20013,Kansas,Brown County,9598,43023,502,52.3026,2,0.2084
20083,Kansas,Hodgeman County,1818,49176,95,52.2552,4,2.2002
38035,North Dakota,Grand Forks County,70770,51494,3650,51.5755,22,0.3109
38085,North Dakota,Sioux County,4358,27662,223,51.1703,2,0.4589
38071,North Dakota,Ramsey County,11481,47425,584,50.8666,4,0.3484
20029,Kansas,Cloud County,8729,38144,443,50.7504,0,0.0
48253,Texas,Jones County,19817,30559,1000,50.4617,6,0.3028
20165,Kansas,Rush County,3093,44302,156,50.4365,0,0.0
38059,North Dakota,Morton County,31095,52153,1567,50.394,15,0.4824
20201,Kansas,Washington County,5420,45181,271,50.0,6,1.107
38097,North Dakota,Traill County,8037,51103,401,49.8942,5,0.6221
31125,Nebraska,Nance County,3532,38000,176,49.8301,2,0.5663
20167,Kansas,Russell County,6907,44443,342,49.515,11,1.5926
31113,Nebraska,Logan County,749,37603,37,49.3992,0,0.0
46015,South Dakota,Brule County,5229,46570,258,49.3402,3,0.5737
38015,North Dakota,Burleigh County,95273,58173,4694,49.2689,42,0.4408
38061,North Dakota,Mountrail County,10218,58955,503,49.2269,4,0.3915
46005,South Dakota,Beadle County,18883,49246,929,49.1977,14,0.7414
46023,South Dakota,Charles Mix County,9338,44877,457,48.9398,5,0.5354
48043,Texas,Brewster County,9267,45652,452,48.7752,1,0.1079
27041,Minnesota,Douglas County,37964,53665,1840,48.467,33,0.8692
56013,Wyoming,Fremont County,39531,43633,1911,48.3418,14,0.3542
40045,Oklahoma,Ellis County,3952,51570,191,48.33,0,0.0
19017,Iowa,Bremer County,24947,49405,1195,47.9016,3,0.1203
27009,Minnesota,Benton County,40545,43830,1936,47.7494,39,0.9619
20193,Kansas,Thomas County,7711,45671,366,47.4647,4,0.5187
20179,Kansas,Sheridan County,2533,50706,119,46.9799,0,0.0
46077,South Dakota,Kingsbury County,4919,50975,231,46.9608,8,1.6263
55078,Wisconsin,Menominee County,4658,30371,218,46.8012,8,1.7175
19033,Iowa,Cerro Gordo County,42647,53342,1995,46.7794,17,0.3986
19131,Iowa,Mitchell County,10569,63318,494,46.7405,3,0.2838
31157,Nebraska,Scotts Bluff County,35989,44171,1680,46.6809,7,0.1945
38081,North Dakota,Sargent County,3870,65448,180,46.5116,2,0.5168
46061,South Dakota,Hanson County,3376,66614,157,46.5047,1,0.2962
19145,Iowa,Page County,15249,41629,709,46.4949,4,0.2623
27145,Minnesota,Stearns County,159256,47196,7384,46.3656,66,0.4144
17051,Illinois,Fayette County,21416,35456,991,46.2738,7,0.3269
20203,Kansas,Wichita County,2105,70142,97,46.0808,2,0.9501
27083,Minnesota,Lyon County,25629,49455,1172,45.7294,5,0.1951
31123,Nebraska,Morrill County,4686,49071,214,45.6679,4,0.8536
38073,North Dakota,Ransom County,5237,55912,239,45.6368,5,0.9547
55107,Wisconsin,Rusk County,14147,44199,644,45.522,6,0.4241
46053,South Dakota,Gregory County,4212,48209,191,45.3466,10,2.3742
40003,Oklahoma,Alfalfa County,5754,40624,260,45.186,0,0.0
17101,Illinois,Lawrence County,15765,29911,712,45.1633,0,0.0
30093,Montana,Silver Bow County,34993,48939,1578,45.0947,25,0.7144
19151,Iowa,Pocahontas County,6740,52699,303,44.9555,2,0.2967
06035,California,Lassen County,30802,37844,1382,44.8672,2,0.0649
19161,Iowa,Sac County,9719,56931,436,44.8606,4,0.4116
31119,Nebraska,Madison County,35392,50630,1581,44.6711,13,0.3673
20199,Kansas,Wallace County,1503,56954,67,44.5775,0,0.0
16035,Idaho,Clearwater County,8758,34506,390,44.5307,0,0.0
48109,Texas,Culberson County,2204,54180,98,44.4646,0,0.0
17091,Illinois,Kankakee County,110024,41290,4891,44.4539,19,0.1727
46067,South Dakota,Hutchinson County,7380,53179,328,44.4444,7,0.9485
48141,Texas,El Paso County,840758,35856,37287,44.3493,445,0.5293
55027,Wisconsin,Dodge County,87847,44799,3895,44.3385,36,0.4098
20155,Kansas,Reno County,62342,41111,2761,44.288,31,0.4973
38013,North Dakota,Burke County,2100,63721,93,44.2857,0,0.0
46085,South Dakota,Lyman County,3821,47431,169,44.2293,2,0.5234
46057,South Dakota,Hamlin County,6111,44209,270,44.1826,4,0.6546
27097,Minnesota,Morrison County,33169,42568,1463,44.1074,20,0.603
19081,Iowa,Hancock County,10712,54791,471,43.9694,1,0.0934
48189,Texas,Hale County,33830,32263,1485,43.896,28,0.8277
38021,North Dakota,Dickey County,4903,52437,214,43.6467,24,4.895
27127,Minnesota,Redwood County,15249,49732,665,43.6094,7,0.459
55121,Wisconsin,Trempealeau County,29442,44698,1283,43.5772,11,0.3736
56025,Wyoming,Natrona County,79115,69379,3445,43.5442,36,0.455
46065,South Dakota,Hughes County,17650,52986,767,43.4561,10,0.5666
08075,Colorado,Logan County,21528,48161,935,43.4318,20,0.929
17049,Illinois,Effingham County,34208,50599,1485,43.4109,16,0.4677
46121,South Dakota,Todd County,10283,25157,446,43.3726,6,0.5835
31021,Nebraska,Burt County,6488,50268,281,43.3107,0,0.0
31033,Nebraska,Cheyenne County,9310,48263,403,43.2868,4,0.4296
46102,South Dakota,Oglala Lakota County,14309,25047,618,43.1896,14,0.9784
27015,Minnesota,Brown County,25111,52995,1084,43.1683,12,0.4779
56027,Wyoming,Niobrara County,2388,51357,103,43.1323,0,0.0
27133,Minnesota,Rock County,9414,51956,406,43.1273,3,0.3187
46095,South Dakota,Mellette County,2042,28152,88,43.095,0,0.0
46117,South Dakota,Stanley County,3022,73776,130,43.0179,0,0.0
46051,South Dakota,Grant County,7147,57069,307,42.9551,10,1.3992
40059,Oklahoma,Harper County,3797,46436,163,42.9286,0,0.0
19007,Iowa,Appanoose County,12437,38478,533,42.856,9,0.7236
40093,Oklahoma,Major County,7644,43762,327,42.7786,0,0.0
55017,Wisconsin,Chippewa County,64135,46162,2741,42.738,27,0.421
38057,North Dakota,Mercer County,8267,57839,353,42.6999,2,0.2419
19187,Iowa,Webster County,36277,45496,1548,42.6717,20,0.5513
27085,Minnesota,McLeod County,35873,49136,1530,42.6505,10,0.2788
27029,Minnesota,Clearwater County,8810,44001,375,42.5653,7,0.7946
48303,Texas,Lubbock County,307412,42569,13069,42.513,167,0.5432
46099,South Dakota,Minnehaha County,192876,57223,8195,42.4884,72,0.3733
38095,North Dakota,Towner County,2192,53786,93,42.427,4,1.8248
27141,Minnesota,Sherburne County,96036,47031,4073,42.4112,17,0.177
17105,Illinois,Livingston County,35761,44775,1515,42.3646,11,0.3076
20027,Kansas,Clay County,7997,42069,338,42.2658,9,1.1254
20065,Kansas,Graham County,2492,49624,105,42.1348,1,0.4013
17075,Illinois,Iroquois County,27604,43258,1163,42.1316,7,0.2536
20147,Kansas,Phillips County,5317,51320,224,42.129,1,0.1881
30097,Montana,Sweet Grass County,3710,44455,156,42.0485,2,0.5391
48377,Texas,Presidio County,6948,42848,292,42.0265,0,0.0
08043,Colorado,Fremont County,48021,35435,2018,42.0233,3,0.0625
46059,South Dakota,Hand County,3262,55673,137,41.9988,0,0.0
18169,Indiana,Wabash County,31280,43820,1312,41.9437,12,0.3836
20135,Kansas,Ness County,2840,57310,119,41.9014,4,1.4085
55091,Wisconsin,Pepin County,7289,47961,305,41.8439,2,0.2744
26013,Michigan,Baraga County,8320,33519,348,41.8269,11,1.3221
30109,Montana,Wibaux County,1034,50940,43,41.5861,3,2.9014
20055,Kansas,Finney County,36611,43172,1521,41.5449,3,0.0819
19023,Iowa,Butler County,14539,49863,604,41.5434,3,0.2063
19079,Iowa,Hamilton County,14952,53071,621,41.5329,4,0.2675
